num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
278393	495070.717848	37.927919	-18.905709	-1.297209	87.297442
278395	495072.813079	72.561095	-16.655894	-1.550174	91.123753
278397	495074.909789	72.513703	-16.740120	-1.540128	82.065751
278399	495077.004815	72.629507	-16.865358	-1.540257	81.412840
278401	495079.094219	72.673577	-16.901721	-1.549198	85.816083
278403	495081.180679	72.468651	-16.945171	-1.554573	87.959217
278405	495083.269445	72.290643	-16.974539	-1.559022	82.482699
278407	495085.359771	72.104102	-17.024422	-1.558693	86.291997
278409	495087.450332	71.818218	-17.022543	-1.559725	82.688495
278411	495089.543724	71.808130	-17.031759	-1.560716	85.500569
278413	495091.636587	71.616396	-17.085755	-1.563566	85.190689
278415	495093.732299	71.619471	-17.094465	-1.570255	85.479864
278417	495095.827220	71.284757	-17.173082	-1.575187	84.927325
278419	495097.921701	71.535277	-17.184858	-1.582711	82.399562
278421	495100.012614	71.801511	-17.141826	-1.581659	79.802327
278423	495102.097232	71.817056	-17.080026	-1.578573	80.488761
278425	495104.183332	71.298412	-17.183220	-1.566117	78.746798
278427	495106.276178	70.754537	-17.359217	-1.572747	82.878422
278429	495108.376341	70.614209	-17.434842	4.692032	82.925095
278431	495110.471684	71.177616	-17.289678	4.685864	77.237507
278433	495112.558311	71.222857	-17.250193	-1.592045	80.223969
278435	495114.642212	70.935242	-17.323085	-1.581761	78.019226
278437	495116.733393	70.380833	-17.411793	-1.583953	77.988245
278439	495118.828251	70.262516	-17.552578	4.691103	82.728438
278441	495120.924539	70.128820	-17.473066	4.682860	82.261934
278443	495123.020315	70.149095	-17.496406	4.678629	80.629361
278445	495125.113156	70.160287	-17.505901	4.675906	79.766452
278447	495127.204199	70.234439	-17.488000	4.678811	76.456691
278449	495129.295878	70.035964	-17.591799	4.673770	80.379739
278451	495131.387401	70.013025	-17.567168	4.676054	79.105155
278453	495133.479388	69.835769	-17.612906	4.674916	79.868100
278455	495135.570229	69.843004	-17.672196	4.673977	76.096099
278457	495137.660757	69.686405	-17.726704	4.670473	76.926894
278459	495139.748638	69.690546	-17.765168	4.667397	79.799641
278463	495143.924011	69.335065	-17.809635	4.652633	75.858376
278465	495146.016268	68.992152	-17.764087	4.649726	77.596201
278467	495148.112858	68.883567	-17.763154	4.654524	75.958110
278469	495150.210846	68.843123	-17.778395	4.660496	73.605662
278471	495152.303869	68.976300	-17.800539	4.659140	75.165326
278473	495154.390903	68.974913	-17.928951	4.649901	77.842796
278475	495156.477021	68.843860	-17.981498	4.640140	76.188508
278477	495158.565417	68.584652	-17.941840	4.635614	75.968582
278479	495160.658146	68.327439	-17.971314	4.631677	73.864035
278483	495164.847827	68.227361	-17.985006	4.635068	71.849704
278485	495166.941284	68.184638	-17.995561	4.634324	72.209118
278487	495169.034592	68.143784	-18.025067	4.630864	72.171398
278489	495171.126421	68.013593	-18.021112	4.627898	68.629845
278491	495173.216978	68.095357	-18.038603	4.624399	68.128724
278493	495175.307257	67.951337	-18.053280	4.620462	69.488024
278497	495179.483922	67.752624	-18.116015	4.618326	67.541244
278499	495181.572113	67.589184	-18.164511	4.621813	72.673295
278501	495183.664457	67.280494	-18.178737	4.621282	71.245997
278503	495185.758775	66.966711	-18.255154	4.615259	72.946591
278505	495187.855388	66.667539	-18.335687	4.603552	72.453819
278507	495189.952111	66.913952	-18.307099	4.598532	72.142215
278511	495194.134283	67.011449	-18.279232	4.597881	70.348382
278513	495196.221601	67.012375	-18.301341	4.599155	65.548431
278515	495198.308867	66.782035	-18.364784	4.599698	65.411263
278517	495200.398408	66.646907	-18.381050	4.599438	69.263692
278519	495202.490576	66.429633	-18.422613	4.596858	68.950378
278521	495204.583746	66.255420	-18.469231	4.592750	71.815828
278523	495206.676586	66.131312	-18.500534	4.588361	71.230986
278525	495208.768506	66.037304	-18.563312	4.585806	70.265584
278527	495210.860774	65.869509	-18.527422	4.580662	70.815175
278529	495212.951921	65.956529	-18.581252	4.577286	68.363907
278531	495215.042477	65.927612	-18.569672	4.573257	69.630771
278533	495217.132506	65.791000	-18.607764	4.569967	66.012919
278535	495219.224260	65.584640	-18.622278	4.562989	66.815356
278537	495221.318181	65.406244	-18.634706	4.564127	66.844850
278539	495223.414177	65.224556	-18.605221	4.564635	65.731323
278541	495225.509523	65.236927	-18.638503	4.569280	64.445644
278543	495227.603989	65.232485	-18.672491	4.566161	66.857466
278545	495229.694164	65.252435	-18.659941	4.564240	68.125101
278547	495231.783480	65.131765	-18.813745	4.558501	66.702637
278549	495233.869927	65.138309	-18.830518	4.554362	68.611873
278551	495235.960332	64.925872	-18.899316	4.550489	67.217168
278553	495238.048380	64.895279	-18.843096	4.541918	64.741671
278555	495240.139288	64.781922	-18.871539	4.540650	65.141183
278557	495242.231522	64.608611	-18.844035	4.539440	64.399557
278559	495244.323887	64.513058	-18.880017	4.536929	61.017859
278563	495248.508171	64.311535	-18.961803	4.532986	60.542402
278565	495250.600029	64.149785	-18.963028	4.531740	61.921696
278567	495252.690292	64.067670	-18.957997	4.529380	59.305309
278569	495254.781674	64.118620	-18.990499	4.528814	59.706294
278571	495256.872607	64.017661	-18.991939	4.528142	61.237301
278573	495258.963354	63.935755	-19.013230	4.527137	64.053707
278575	495261.055793	63.692378	-19.012856	4.523746	64.620030
278577	495263.150659	63.395993	-19.085183	4.520912	62.892640
278579	495265.245226	63.135547	-19.105942	4.515244	65.208312
278581	495267.341640	63.202732	-19.096104	4.510530	59.725087
278583	495269.435390	63.172134	-19.101914	4.505038	64.728114
278585	495271.528860	63.289924	-19.123937	4.502740	60.701344
278587	495273.618633	63.273354	-19.135855	4.502298	60.538470
278589	495275.707689	63.145410	-19.137023	4.499589	59.335322
278591	495277.794860	63.015199	-19.174783	4.499621	56.653172
