time (s)	det(V)
495511.572398	-0.007031	
495511.574398	-0.008361	
495511.576399	-0.007877	
495511.578398	-0.015305	
495511.580398	-0.017178	
495511.584395	-0.017723	
495511.586396	-0.030346	
495511.588398	-0.031467	
495511.592398	-0.036959	
495511.594398	-0.033558	
495511.596398	-0.038185	
495511.598397	-0.036203	
495511.600397	-0.041052	
495511.602396	-0.040205	
495511.606399	-0.041827	
495511.608398	-0.051219	
495511.610396	-0.049437	
495511.612401	-0.049930	
495511.614406	-0.044839	
495511.616406	-0.041087	
495511.618404	-0.050157	
495511.620405	-0.041232	
495511.622404	-0.045239	
495511.626401	-0.054684	
495511.630402	-0.057253	
495511.632403	-0.048265	
495511.634405	-0.050411	
495511.636404	-0.046458	
495511.638404	-0.046637	
495511.642402	-0.049315	
495511.644403	-0.052924	
495511.646404	-0.058756	
495511.650404	-0.052993	
495511.652403	-0.052341	
495511.654403	-0.042257	
495511.656404	-0.049296	
495511.658404	-0.050158	
495511.660403	-0.043273	
495511.664402	-0.053845	
495511.668403	-0.050797	
495511.670404	-0.042886	
495511.672403	-0.042626	
495511.674403	-0.044347	
495511.676403	-0.043019	
495511.680402	-0.043250	
495511.682404	-0.044176	
495511.684404	-0.049690	
495511.688403	-0.045411	
495511.690405	-0.042359	
495511.692403	-0.035280	
495511.694405	-0.039997	
495511.696405	-0.040845	
495511.698402	-0.036429	
495511.702404	-0.042952	
495511.704404	-0.037054	
495511.706403	-0.041875	
495511.708404	-0.038474	
495511.710405	-0.032962	
495511.712405	-0.035274	
495511.714408	-0.031718	
495511.716406	-0.031280	
495511.718405	-0.030219	
495511.722405	-0.031487	
495511.726405	-0.036067	
495511.728407	-0.031897	
495511.730405	-0.028718	
495511.732406	-0.023159	
495511.734405	-0.029392	
495511.738403	-0.021397	
495511.740405	-0.033289	
495511.742406	-0.027398	
495511.746406	-0.027500	
495511.748406	-0.019594	
495511.750405	-0.018750	
495511.752406	-0.024634	
495511.754406	-0.015052	
495511.758403	-0.016606	
495511.762403	-0.021732	
495511.764406	-0.019898	
495511.766406	-0.015107	
495511.768407	-0.015427	
495511.770405	-0.009787	
495511.772406	-0.011045	
495511.776403	-0.014280	
495511.778405	-0.019554	
495511.780405	-0.017340	
495511.784404	-0.013546	
495511.786406	-0.008273	
495511.788404	-0.003058	
495511.790406	-0.009258	
495511.792406	-0.005936	
495511.794405	-0.006439	
495511.798404	-0.012320	
495511.802404	-0.011981	
495511.804406	0.002542	
495511.806406	-0.001307	
495511.808406	-0.003218	
495511.810406	-0.002208	
495511.814403	-0.005489	
495511.816406	-0.004227	
495511.818406	-0.006274	
495511.822405	-0.001335	
495511.824405	0.000669	
495511.826406	0.007342	
495511.828406	0.001842	
495511.830405	0.004543	
495511.832405	0.009276	
495511.834408	0.000199	
495511.838404	0.001966	
495511.840406	0.000657	
495511.842406	0.007881	
495511.844406	0.011036	
495511.846405	0.008040	
495511.848408	0.011418	
495511.850405	0.010758	
495511.852407	0.011684	
495511.854405	0.013929	
495511.856406	0.004566	
495511.860404	0.003992	
495511.862406	0.006079	
495511.864405	0.014097	
495511.866406	0.018330	
495511.868406	0.016699	
495511.870406	0.021526	
495511.874404	0.018852	
495511.876406	0.014673	
495511.878406	0.011637	
495511.882404	0.009192	
495511.884407	0.018005	
495511.886406	0.025383	
495511.888406	0.025617	
495511.890405	0.024411	
495511.892406	0.024964	
495511.896406	0.021841	
495511.900406	0.024651	
495511.902405	0.027991	
495511.904405	0.035983	
495511.906404	0.031783	
495511.908406	0.030274	
495511.912403	0.033782	
495511.914405	0.026158	
495511.916405	0.028242	
495511.920404	0.025139	
495511.922406	0.037869	
495511.924408	0.035485	
495511.926405	0.038355	
495511.928406	0.035016	
495511.930404	0.036409	
495511.932406	0.036098	
495511.936406	0.029946	
495511.938406	0.035008	
495511.940406	0.037486	
495511.942406	0.043604	
495511.944405	0.042816	
495511.946406	0.039763	
495511.948405	0.046819	
495511.950404	0.042838	
495511.952406	0.040164	
495511.956405	0.041225	
495511.958405	0.035603	
495511.960406	0.045642	
495511.962405	0.041592	
495511.964404	0.050552	
495511.966406	0.051571	
495511.968406	0.048018	
495511.972404	0.054579	
495511.976404	0.044294	
495511.978405	0.046265	
495511.980409	0.050529	
495511.982406	0.055993	
495511.984407	0.050914	
495511.986405	0.052117	
495511.988406	0.057366	
495511.990406	0.053451	
495511.994404	0.048859	
495511.998405	0.045264	
495512.000406	0.052055	
495512.002405	0.055358	
495512.004406	0.059211	
495512.006405	0.053052	
495512.010403	0.056856	
495512.012406	0.048728	
495512.014406	0.049385	
495512.018406	0.051824	
495512.020404	0.059771	
495512.022406	0.056910	
495512.024406	0.052811	
495512.026405	0.059405	
495512.028406	0.053299	
495512.030407	0.046410	
495512.034416	0.050473	
495512.036416	0.046656	
495512.038415	0.051172	
495512.040415	0.042294	
495512.042416	0.048030	
495512.044416	0.041741	
495512.046415	0.041558	
495512.048415	0.045302	
495512.050416	0.035072	
495512.052418	0.031495	
495512.056415	0.025622	
495512.058416	0.028392	
495512.060417	0.026911	
495512.062417	0.020893	
